City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,7.91,76,20,5.66,SJ,1720617421
1,inarajan village,13.2736,144.7484,28.08,94,88,4.83,GU,1720617421
2,cedeira,43.6797,-8.0209,21.58,69,88,4.66,ES,1720617422
3,grytviken,-54.2811,-36.5092,0.25,98,100,11.07,GS,1720617422
4,pamandzi,-12.7967,45.2794,27.88,65,0,4.63,YT,1720617422
5,ust-nera,64.5667,143.2,16.58,46,100,0.93,RU,1720617422
6,udachny,66.4167,112.4,20.74,63,35,1.1,RU,1720617423
7,lobujya,27.95,86.8167,6.47,87,100,2.09,NP,1720617423
8,atafu village,-8.5421,-172.5159,28.54,71,95,6.52,TK,1720617423
9,stanley,54.868,-1.6985,14.17,95,75,2.06,GB,1720617423
10,mutare,-18.9707,32.6709,24.27,12,0,3.26,ZW,1720617423
11,polyarnyy,69.1989,33.4478,12.58,65,99,4.27,RU,1720617423
12,campo maior,-4.8278,-42.1686,31.33,45,54,4.04,BR,1720617424
13,iqaluit,63.7506,-68.5145,6.85,87,75,1.54,CA,1720617283
14,puerto natales,-51.7236,-72.4875,4.25,81,40,6.17,CL,1720617349
15,tolanaro,-25.0319,46.9987,25.04,73,20,5.14,MG,1720617424
16,kristiansund,63.1115,7.732,17.36,57,0,5.66,NO,1720617424
17,blackmans bay,-43.0167,147.3167,10.07,95,0,0.89,AU,1720617424
18,yangambi,0.8102,24.4336,33.06,41,99,0.61,CD,1720617424
19,piti village,13.4626,144.6933,28.03,86,0,2.06,GU,1720617425
20,palangkaraya,-2.2,113.8333,23.51,97,97,1.13,ID,1720617425
21,poli,-3.3333,36.8,22.75,36,92,4.1,TZ,1720617425
22,dazhong,33.1997,120.4578,23.8,88,100,0.5,CN,1720617425
23,cabo san lucas,22.8909,-109.9124,25.61,81,8,4.92,MX,1720617247
24,adamstown,-25.066,-130.1015,19.71,62,100,5.23,PN,1720617425
25,dublin,37.7021,-121.9358,16.74,90,100,2.57,US,1720617425
26,iskateley,67.6803,53.1512,11.44,96,100,4.9,RU,1720617426
27,sao miguel do guama,-1.6267,-47.4833,29.17,67,1,3.43,BR,1720617426
28,malayer,34.2969,48.8235,33.91,9,0,3.86,IR,1720617426
29,rikaze,29.25,88.8833,22.69,32,100,2.4,CN,1720617426
30,villa hernandarias,-31.231,-59.985,5.7,67,43,3.41,AR,1720617426
31,lowicz,52.1071,19.9453,33.88,36,5,6.22,PL,1720617426
32,walvis bay,-22.9575,14.5053,16.72,37,0,5.02,,1720617152
33,lebu,-37.6167,-73.65,5.59,77,3,6.76,CL,1720617427
34,puerto leguizamo,-0.1934,-74.7819,23.01,89,24,0.07,CO,1720617427
35,haiku-pauwela,20.9219,-156.3051,22.92,85,0,4.12,US,1720617427
36,marquette,46.5333,-87.6335,17.68,93,100,3.11,US,1720617428
37,gorom-gorom,14.4439,-0.2361,35.74,36,89,3.56,BF,1720617428
38,port mathurin,-19.6833,63.4167,22.85,69,6,7.3,MU,1720617428
39,sertania,-8.0736,-37.2644,26.99,51,93,4.32,BR,1720617428
40,ushuaia,-54.8,-68.3,1.81,87,100,11.83,AR,1720617373
41,kodiak,57.79,-152.4072,9.73,93,100,2.06,US,1720617428
42,usinsk,65.9939,57.5281,18.72,83,100,9.14,RU,1720617429
43,thompson,55.7435,-97.8558,18.09,82,75,2.06,CA,1720617429
